43.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;NBA,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
Execute Anonymous: BasicProgramming obj = new BasicProgramming();
Execute Anonymous: String result = obj.determineEvenOdd(9);
Execute Anonymous: //System.debug('Number is: '+ result);
Execute Anonymous: obj.printArray(10);
06:25:45.34 (34512199)|USER_INFO|[EXTERNAL]|0056F000009ROqM|swaraj@espl.com|Pacific Standard Time|GMT-07:00
06:25:45.34 (34536143)|EXECUTION_STARTED
06:25:45.34 (34540111)|CODE_UNIT_STARTED|[EXTERNAL]|execute_anonymous_apex
06:25:45.34 (35934638)|VARIABLE_SCOPE_BEGIN|[1]|obj|BasicProgramming|true|false
06:25:45.34 (35964287)|VARIABLE_SCOPE_BEGIN|[2]|result|String|false|false
06:25:45.34 (36074984)|HEAP_ALLOCATE|[72]|Bytes:3
06:25:45.34 (36104261)|HEAP_ALLOCATE|[77]|Bytes:152
06:25:45.34 (36118694)|HEAP_ALLOCATE|[342]|Bytes:408
06:25:45.34 (36132528)|HEAP_ALLOCATE|[355]|Bytes:408
06:25:45.34 (36143618)|HEAP_ALLOCATE|[467]|Bytes:48
06:25:45.34 (36167444)|HEAP_ALLOCATE|[139]|Bytes:6
06:25:45.34 (36185678)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
06:25:45.34 (36216327)|STATEMENT_EXECUTE|[1]
06:25:45.34 (36220098)|STATEMENT_EXECUTE|[1]
06:25:45.34 (36224011)|HEAP_ALLOCATE|[1]|Bytes:8
06:25:45.34 (36229760)|HEAP_ALLOCATE|[1]|Bytes:2
06:25:45.34 (36266703)|METHOD_ENTRY|[9]|01p6F00000CNPHj|BasicProgramming.BasicProgramming()
06:25:45.34 (36275051)|STATEMENT_EXECUTE|[9]
06:25:45.34 (36278689)|STATEMENT_EXECUTE|[9]
06:25:45.34 (36312180)|HEAP_ALLOCATE|[50]|Bytes:5
06:25:45.34 (36333456)|HEAP_ALLOCATE|[56]|Bytes:5
06:25:45.34 (36342082)|HEAP_ALLOCATE|[64]|Bytes:7
06:25:45.34 (36357767)|SYSTEM_MODE_ENTER|false
06:25:45.34 (36371012)|HEAP_ALLOCATE|[1]|Bytes:5
06:25:45.34 (36378273)|SYSTEM_MODE_EXIT|false
06:25:45.34 (36387572)|METHOD_EXIT|[9]|BasicProgramming
06:25:45.34 (36401134)|HEAP_ALLOCATE|[1]|Bytes:4
06:25:45.34 (36422772)|SYSTEM_MODE_ENTER|false
06:25:45.34 (36432823)|HEAP_ALLOCATE|[1]|Bytes:5
06:25:45.34 (36444292)|CONSTRUCTOR_ENTRY|[1]|01p6F00000CNPHj|<init>()|BasicProgramming
06:25:45.34 (36469856)|VARIABLE_SCOPE_BEGIN|[10]|this|BasicProgramming|true|false
06:25:45.34 (36507007)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x7fd39d6e
06:25:45.34 (36519850)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
06:25:45.34 (36526135)|STATEMENT_EXECUTE|[9]
06:25:45.34 (36528963)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
06:25:45.34 (36538211)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:6
06:25:45.34 (36570262)|STATEMENT_EXECUTE|[10]
06:25:45.34 (36575847)|CONSTRUCTOR_EXIT|[1]|01p6F00000CNPHj|<init>()|BasicProgramming
06:25:45.34 (36586019)|SYSTEM_MODE_EXIT|false
06:25:45.34 (36605064)|VARIABLE_ASSIGNMENT|[1]|obj|{}|0x7fd39d6e
06:25:45.34 (36613304)|STATEMENT_EXECUTE|[2]
06:25:45.34 (36634166)|SYSTEM_MODE_ENTER|false
06:25:45.34 (36643636)|HEAP_ALLOCATE|[2]|Bytes:5
06:25:45.34 (36671574)|METHOD_ENTRY|[2]|01p6F00000CNPHj|BasicProgramming.determineEvenOdd(Integer)
06:25:45.34 (36689235)|VARIABLE_SCOPE_BEGIN|[15]|this|BasicProgramming|true|false
06:25:45.34 (36706124)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x7fd39d6e
06:25:45.34 (36713630)|VARIABLE_SCOPE_BEGIN|[15]|number1|Integer|false|false
06:25:45.34 (36726565)|VARIABLE_ASSIGNMENT|[15]|number1|9
06:25:45.34 (36737956)|HEAP_ALLOCATE|[16]|Bytes:5
06:25:45.34 (36742734)|STATEMENT_EXECUTE|[15]
06:25:45.34 (36744388)|STATEMENT_EXECUTE|[16]
06:25:45.34 (36774939)|VARIABLE_SCOPE_BEGIN|[2]|System.Math.E|Double|false|true
06:25:45.34 (36786821)|VARIABLE_SCOPE_BEGIN|[3]|System.Math.PI|Double|false|true
06:25:45.34 (36801223)|HEAP_ALLOCATE|[16]|Bytes:206
06:25:45.34 (36811257)|SYSTEM_METHOD_ENTRY|[1]|Math.Math()
06:25:45.34 (36815601)|STATEMENT_EXECUTE|[1]
06:25:45.34 (36857023)|SYSTEM_METHOD_EXIT|[1]|Math
06:25:45.34 (36869895)|METHOD_ENTRY|[16]||System.Math.mod(Integer, Integer)
06:25:45.34 (36976775)|METHOD_EXIT|[16]||System.Math.mod(Integer, Integer)
06:25:45.34 (36986903)|HEAP_ALLOCATE|[16]|Bytes:3
06:25:45.34 (36996975)|METHOD_EXIT|[2]|01p6F00000CNPHj|BasicProgramming.determineEvenOdd(Integer)
06:25:45.34 (37004630)|SYSTEM_MODE_EXIT|false
06:25:45.34 (37021335)|VARIABLE_ASSIGNMENT|[2]|result|"Odd"
06:25:45.34 (37027389)|STATEMENT_EXECUTE|[4]
06:25:45.34 (37048845)|SYSTEM_MODE_ENTER|false
06:25:45.34 (37057903)|HEAP_ALLOCATE|[4]|Bytes:5
06:25:45.34 (37070322)|METHOD_ENTRY|[4]|01p6F00000CNPHj|BasicProgramming.printArray(Integer)
06:25:45.34 (37096463)|VARIABLE_SCOPE_BEGIN|[22]|this|BasicProgramming|true|false
06:25:45.34 (37115814)|VARIABLE_ASSIGNMENT|[22]|this|{}|0x7fd39d6e
06:25:45.34 (37124140)|VARIABLE_SCOPE_BEGIN|[22]|arraySize|Integer|false|false
06:25:45.34 (37135276)|VARIABLE_ASSIGNMENT|[22]|arraySize|10
06:25:45.34 (37145037)|HEAP_ALLOCATE|[23]|Bytes:5
06:25:45.34 (37150318)|STATEMENT_EXECUTE|[22]
06:25:45.34 (37152005)|STATEMENT_EXECUTE|[23]
06:25:45.34 (37188775)|HEAP_ALLOCATE|[23]|Bytes:4
06:25:45.34 (37222883)|VARIABLE_SCOPE_BEGIN|[23]|myArray|List<Integer>|true|false
06:25:45.34 (37251487)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:44
06:25:45.34 (37268994)|VARIABLE_ASSIGNMENT|[23]|myArray|"List of size 10 too large to display"|0x2a9d8be3
06:25:45.34 (37277087)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37280710)|VARIABLE_SCOPE_BEGIN|[24]|i|Integer|false|false
06:25:45.34 (37289106)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37298544)|VARIABLE_ASSIGNMENT|[24]|i|0
06:25:45.34 (37307247)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37309083)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37314343)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37328342)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37336705)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37344091)|VARIABLE_ASSIGNMENT|[24]|i|1
06:25:45.34 (37350069)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37352843)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37355183)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37360644)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37366692)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37372128)|VARIABLE_ASSIGNMENT|[24]|i|2
06:25:45.34 (37377664)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37379196)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37381249)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37386546)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37391281)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37396316)|VARIABLE_ASSIGNMENT|[24]|i|3
06:25:45.34 (37402184)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37403597)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37406454)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37411152)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37416074)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37421241)|VARIABLE_ASSIGNMENT|[24]|i|4
06:25:45.34 (37427242)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37428675)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37431220)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37435819)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37440681)|HEAP_ALLOCATE|[24]|Bytes:4
06:25:45.34 (37445923)|VARIABLE_ASSIGNMENT|[24]|i|5
06:25:45.34 (37450888)|STATEMENT_EXECUTE|[24]
06:25:45.34 (37452302)|STATEMENT_EXECUTE|[25]
06:25:45.34 (37455096)|HEAP_ALLOCATE|[25]|Bytes:4
06:25:45.34 (37460167)|HEAP_ALLOCATE|[25]|Bytes:4
